,q1,q3,kv1,kv2,kv3,duration
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
empty,0.1,0.1,1.0,1.0,0.1,1000
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
fill,0.2,0.5,0.05,0.1,0.0,50
rest,0.0,0.0,0.0,0.0,0.0,50
mix,0.0,0.0,0.05,0.1,0.1,50
